Hotel_Name,Email,City,Area,Zip Code,hotel,location,staff,service,room,internet,breakfast,restaurants,Url
usa_illinois_chicago_chinatown_hotel,usa_illinois_chicago_chinatown_hotel@gmail.com,Chicago,Englewood,60668,0,0.81,0.42,0,0,0,0,0.17,https://www.tripadvisor.com/Hotel_Review-g35805-d488493-Reviews-Chinatown_Hotel-Chicago_Illinois.html
usa_nevada_las_vegas_atrium_suites_hotel_las_vegas,usa_nevada_las_vegas_atrium_suites_hotel_las_vegas@gmail.com,Las_Vegas,Summerlin,92804,0.21,0.62,-0.02,0.57,-0.06,0,0,0.45,https://www.tripadvisor.com/Hotel_Review-g45963-d91915-Reviews-Atrium_Suites_Hotel_Las_Vegas-Las_Vegas_Nevada.html
usa_nevada_las_vegas_arizona_charlie_s_decatur,usa_nevada_las_vegas_arizona_charlie_s_decatur@gmail.com,Las_Vegas,Spring_Valley,91646,0,-0.44,0.7,0,0,0,0.16,0,http://arizonacharlies.com
usa_illinois_chicago_central_loop_hotel,usa_illinois_chicago_central_loop_hotel@gmail.com,Chicago,Lincoln_Park,60640,0.14,0.85,0,0,0,0,0,0,https://www.centralloophotel.com
usa_illinois_chicago_chicago_o_hare_garden_hotel,usa_illinois_chicago_chicago_o_hare_garden_hotel@gmail.com,Chicago,Mckinley_Park,60668,-0.3,0.46,0.7,0.26,-0.06,0,-0.12,0,https://www.tripadvisor.com/Hotel_Review-g36456-d223349-Reviews-Chicago_O_Hare_Garden_Hotel-Norridge_Illinois.html
usa_nevada_las_vegas_bellagio_las_vegas,usa_nevada_las_vegas_bellagio_las_vegas@gmail.com,Las_Vegas,Jean,91897,0.46,0.58,0.76,0.11,0.21,0.08,0.03,-0.07,https://www.bellagio.com/en.html
usa_nevada_las_vegas_americas_best_value_inn_las_vegas,usa_nevada_las_vegas_americas_best_value_inn_las_vegas@gmail.com,Las_Vegas,Cottonwood_Cove,90584,0,0.8,0.83,0.15,0,0.51,0.22,0,https://www.redlion.com/las-vegas
usa_nevada_las_vegas_americana_5,usa_nevada_las_vegas_americana_5@gmail.com,Las_Vegas,Jean,90270,-0.05,0,0.45,0,-0.09,0,-0.4,0,https://www.yelp.com/biz/americana-5-inn-and-suites-las-vegas
usa_illinois_chicago_buckingham_athletic_club,usa_illinois_chicago_buckingham_athletic_club@gmail.com,Chicago,South_Chicago,60639,-0.02,0.74,0.24,-0.13,0.23,0,0,0.45,http://www.thebuckinghamclub.com
usa_illinois_chicago_belair_hotel,usa_illinois_chicago_belair_hotel@gmail.com,Chicago,Lincoln_Park,60611,-0.05,0.7,0.45,0.9,0.03,0,0,0,https://www.tripadvisor.com/Hotel_Review-g35805-d123317-Reviews-Belair_Hotel-Chicago_Illinois.html
usa_nevada_las_vegas_best_western_main_street_inn,usa_nevada_las_vegas_best_western_main_street_inn@gmail.com,Las_Vegas,East_Las_Vegas,90754,0.47,0,0.9,0,0.21,0,0.3,0,https://www.bestwestern.com/en_US.html
usa_illinois_chicago_best_western_hawthorne_terrace,usa_illinois_chicago_best_western_hawthorne_terrace@gmail.com,Chicago,South_Shore,60665,-0.72,0.46,0.88,0.4,0.06,-0.1,0.02,0.03,https://www.bestwestern.com/en_US.html
usa_illinois_chicago_amalfi_hotel_chicago,usa_illinois_chicago_amalfi_hotel_chicago@gmail.com,Chicago,Lincoln_Park,60624,0.79,0.22,0.4,0.51,-0.01,0.22,0.06,0.51,https://www.getaroom.com/hotels/amalfi-hotel-chicago
usa_illinois_chicago_chicago_marriott_at_medical_district_uic,usa_illinois_chicago_chicago_marriott_at_medical_district_uic@gmail.com,Chicago,Washington_Park,60618,-0.08,0.14,0.87,0.35,0.71,-0.15,0.1,0.02,http://www.marriott.com/hotels/travel/chidm-chicago-marriott-at-medical-district-uic/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2
usa_nevada_las_vegas_best_western_nellis_motor_inn,usa_nevada_las_vegas_best_western_nellis_motor_inn@gmail.com,Las_Vegas,Cottonwood_Cove,93971,-0.15,0.2,0.4,0,0.1,0,0.06,0,https://www.bestwestern.com/en_US.html
usa_nevada_las_vegas_arizona_charlie_s_boulder_casino_hotel,usa_nevada_las_vegas_arizona_charlie_s_boulder_casino_hotel@gmail.com,Las_Vegas,Jean,92671,0,-0.02,0.1,0,-0.01,0.06,0,0,https://www.hotels.com/ho140206/arizona-charlie-s-boulder-casino-hotel-suites-rv-park-las-vegas-united-states-of-america/
usa_nevada_las_vegas_bill_s_gamblin_hall_saloon,usa_nevada_las_vegas_bill_s_gamblin_hall_saloon@gmail.com,Las_Vegas,Boulder_City,93091,0,0.15,0.61,0.18,0.14,0,0.13,-0.02,https://www.caesars.com/cromwell
usa_nevada_las_vegas_best_western_parkview_inn,usa_nevada_las_vegas_best_western_parkview_inn@gmail.com,Las_Vegas,Jean,93618,0.11,0,0.9,0,0.01,0.8,0.34,0,https://www.bestwestern.com/en_US.html
usa_nevada_las_vegas_best_western_mardi_gras_hotel_casino,usa_nevada_las_vegas_best_western_mardi_gras_hotel_casino@gmail.com,Las_Vegas,Bullhead_City,90831,0.39,-0.1,0.52,-0.12,0.43,0,0.04,0,https://www.bestwestern.com/en_US.html
usa_nevada_las_vegas_aruba_hotel,usa_nevada_las_vegas_aruba_hotel@gmail.com,Las_Vegas,Jean,89706,0.42,-0.18,0.31,0.4,0.21,0,0,0,https://www.agoda.com/aruba-hotel-and-spa/hotel/las-vegas-nv-us.html?cid=-218
usa_illinois_chicago_carlton_inn_midway,usa_illinois_chicago_carlton_inn_midway@gmail.com,Chicago,North_Center,60655,0.07,0.38,0.17,0.63,-0.02,0.7,0.36,0.11,https://www.carltoninnmidway.com
usa_illinois_chicago_bellwood_hotel,usa_illinois_chicago_bellwood_hotel@gmail.com,Chicago,Edison_Park,60678,0.45,0.6,0.6,0,-0.4,0,0,0,https://www.yellowpages.com/chicago-il/mip/bellwood-hotel-1021797
usa_nevada_las_vegas_americas_best_value_inn,usa_nevada_las_vegas_americas_best_value_inn@gmail.com,Las_Vegas,Jean,93978,0,0,0.55,0,0,0,0,0,https://www.redlion.com/las-vegas
usa_illinois_chicago_chicago_south_loop_hotel,usa_illinois_chicago_chicago_south_loop_hotel@gmail.com,Chicago,Edison_Park,60681,0.19,0.72,0.54,0.39,0.34,0,0,-0.1,http://www.chicagosouthloophotel.com
usa_illinois_chicago_chateau_hotel,usa_illinois_chicago_chateau_hotel@gmail.com,Chicago,Austin,60644,0,-0.1,0,0,-0.11,0,0,0,https://www.yelp.com/biz/chateau-hotel-chicago
